Condition,Item,Sentence,Verb,Target,Distractor,Last_Mentioned,Cloze,Cloze_distractor,Cloze_C_alternative,Cloze_round,Plaus_target_avg,Plaus_dist_avg,Cloze_C_alternative_Francesca,Surprisal_target,Surprisal_distractor,LeoLM_tar,LeoLM_dist
A,14,Danach musterte das Mädchen,musterte,Schwimmer,Sprung,target,0.8666666667,0,,2,5.5,2.1,,0.3041093647,6.255618572,0.223667802871205,7.93170090019703
B,14,Danach besuchte das Mädchen,besuchte,Schwimmer,Sprung,target,NA,NA,,,5,2.3,,1.937140107,5.959497452,0.186247855424881,9.17944851517677
C,14,Danach salzte das Mädchen,salzte,Schwimmer,Sprung,target,0,0,0.2,,2,2.3,0.2,1.564540029,3.354177713,1.28238291013986,3.67121421126649
A,15,Dann verabschiedete der Chefarzt,verabschiedete,Sekretärin,Diktiermaschine,distractor,0.5333333333,0,,2,5.1,2.6,,3.000990629,3.283020018,0.352932602283545,13.134072651621
B,15,Dann fand der Chefarzt,fand,Sekretärin,Diktiermaschine,distractor,NA,NA,,,2.9,2.2,,12.54804325,2.53591329,5.76546263624914,2.71327370565268
C,15,Dann leerte der Chefarzt,leerte,Sekretärin,Diktiermaschine,distractor,0,0.2,0.2666666667,,1.6,2.8,0.333333333,14.06069565,1.011438431,8.17204076051712,6.74514455301687
A,16,Daraufhin verabschiedete die Reporterin,verabschiedete,Mitarbeiter,Bauern,distractor,0.4666666667,0.2666666667,,2,5.6,4.9,,7.377933502,1.166943669,0.158644034367171,4.08792455823277
B,16,Daraufhin suchte die Reporterin,suchte,Mitarbeiter,Bauern,distractor,NA,NA,,,4.8,4.4,,10.05746269,1.821274996,5.46782861817337,1.36686585634016
C,16,Daraufhin ordnete die Reporterin,ordnete,Mitarbeiter,Bauern,distractor,0.06666666667,0,0.1333333333,,3,2.7,0.2,10.6918993,5.007113457,5.21471758536063,7.58990616560914
A,17,Danach parkte die Tochter,parkte,Rasenmäher,Gärtner,target,0.6666666667,0,,2,5.4,2.1,,0.6238627676,8.557954788,0.164064208503987,11.3859604101162
B,17,Danach bemalte die Tochter,bemalte,Rasenmäher,Gärtner,target,NA,NA,,,5,2.2,,0.4505163424,9.57634449,0.396192660264205,5.06845314979728
C,17,Danach halbierte die Tochter,halbierte,Rasenmäher,Gärtner,target,0,0,0.1333333333,,1.8,1.8,0.133333333,0.6214326934,10.3654623,2.55221047188388,4.64674253854173
A,18,Entzückt entlohnte die Dame,entlohnte,Juwelier,Edelstein,distractor,0.8,0.06666666667,,2,5.2,2.8,,0.1814818233,4.375089262,0.115229661809281,6.83239322435111
B,18,Entzückt empfing die Dame,empfing,Juwelier,Edelstein,distractor,NA,NA,,,3.6,5.5,,6.155050851,0.1570525265,4.27709886617959,2.34198435023427
C,18,Entzückt würzte die Dame,würzte,Juwelier,Edelstein,distractor,0,0,0.2666666667,,1.6,1.9,0.333333333,6.852014288,0.1210251342,2.27728620509151,0.880861699522939
A,19,Verblüfft nahm die Nichte,nahm,Schraubenzieher,Mechaniker,target,0.9333333333,0,,2,7,3.2,,1.011316285,8.174465446,0.268791053473251,6.04374250187539
B,19,Verblüfft sah die Nichte,sah,Schraubenzieher,Mechaniker,target,NA,NA,,,6.8,6.4,,1.544470819,6.310023525,1.84297137170506,1.20026985884761
C,19,Verblüfft kochte die Nichte,kochte,Schraubenzieher,Mechaniker,target,0,0,0,,1.4,1.4,0.133333333,1.910692529,10.02328787,2.77792340421001,1.75811258406611
A,20,Daraufhin bestach der Mopedfahrer,bestach,Polizisten,Autofahrer,distractor,0.9333333333,0.06666666667,,2,4.6,3.8,,1.206238031,6.29182148,0.0171748814173043,10.7493652712437
B,20,Daraufhin bemerkte der Mopedfahrer,bemerkte,Polizisten,Autofahrer,distractor,NA,NA,,,3.5,2.3,,6.333042622,9.874056816,2.75495027191937,6.36342528951354
C,20,Daraufhin sortierte der Mopedfahrer,sortierte,Polizisten,Autofahrer,distractor,0,0,0.2666666667,,2.5,2.5,0.266666667,12.17400932,12.09826374,3.06392833031714,4.63097800198011
A,21,Daraufhin ermahnte die Freundin,ermahnte,Segler,Strick,distractor,1,0,,2,6.8,2.3,,0.5920653024,9.578245163,0.0674614221788943,14.2698405534029
B,21,Daraufhin informierte die Freundin,informierte,Segler,Strick,distractor,NA,NA,,,5.6,1.6,,2.569559885,10.21406746,1.33199651539326,9.15084075927734
C,21,Daraufhin verschraubte die Freundin,verschraubte,Segler,Strick,distractor,0,0.2,0.2,,2.1,4.7,0.333333333,4.984754869,2.623970509,2.13718677684665,1.63767049694434
A,22,Dann versklavten die Piraten,versklavten,Einheimischen,Golschätze,distractor,1,0,,1,5.8,1.3,,1.470148087,7.431092262,0.48931881855242,14.6802419424057
B,22,Dann begleiteten die Piraten,begleiteten,Einheimischen,Golschätze,distractor,NA,0.6666666667,,,2.2,4,,4.903506279,8.471269131,0.656911912374198,6.64068008959293
C,22,Dann wechselten die Piraten,wechselten,Einheimischen,Golschätze,distractor,0,0.06666666667,0.2666666667,,1.4,1.9,0.266666667,15.6228323,11.16522408,10.495489468798,9.77123467810452
A,23,Sofort suchte der Junge,suchte,Korb,Apfel,distractor,0.6,0.2666666667,,2,6.8,6,,3.436583042,2.722811699,5.37286891043186,5.32953850179911
B,23,Sofort füllte der Junge,füllte,Korb,Apfel,distractor,NA,NA,,,3.3,1.4,,0.2080065906,6.925346375,1.65437990427017,3.41615324653685
C,23,Sofort schlug der Junge,schlug,Korb,Apfel,distractor,0.06666666667,0,0.2,,2.7,2.1,0.266666667,3.444104671,2.174631834,6.40360033512116,6.25802695378661
A,24,Danach beglückwünschte der Juror,beglückwünschte,Sportler,Vater,target,0.8666666667,0.2,,,4.7,6.8,,4.736171246,2.399290323,1.3525625030743,0.971894264221191
B,24,Danach bewertete der Juror,bewertete,Sportler,Vater,target,NA,NA,,2,3.1,2.7,,4.724777222,8.385101318,2.06247917702422,1.07763540744782
C,24,Danach öffnete der Juror,öffnete,Sportler,Vater,target,0,0,0.2666666667,,1.2,1.7,0.266666667,6.499278545,5.709727764,3.87465369701385,4.23075532913208
A,25,Daraufhin umarmte der Mann,umarmte,Geschäftsfrau,Bar,distractor,1,0,,2,6.1,3.7,,2.882454917,5.229444504,1.30627578045824,7.70594120025635
B,25,Daraufhin rief der Mann,rief,Geschäftsfrau,Bar,distractor,NA,NA,,,4.5,2.7,,3.964340761,6.145919323,5.08553480153205,4.14221382141113
C,25,Daraufhin sortierte der Mann,sortierte,Geschäftsfrau,Bar,distractor,0,0,0.2666666667,,1.6,3.6,0.266666667,9.770549178,3.412408829,17.9050448795315,3.86204504966736
A,26,Lachend holte der Rentner,holte,Zelt,Kind,target,0.4666666667,0,,2,6.8,2,,6.582201004,0.6354357004,2.16912801936269,10.4979944229126
B,26,Lachend sah der Rentner,sah,Zelt,Kind,target,NA,NA,,,5.6,6,,6.205218792,1.516484499,8.2243407566566,0.348253220319748
C,26,Lachend aß der Rentner,aß,Zelt,Kind,target,0,0,0.2666666667,,1.5,1.6,0.466666667,6.079293728,1.470865726,3.08551757887471,0.630019843578339
A,27,Zurück in der Kantine kaufte der Lehrer,kaufte,Limonade,Tasche,distractor,1,0,,1,4.7,1.6,,2.838787405,2.533961296,0.243394018965773,9.13923990004696
B,27,Zurück in der Kantine behielt der Lehrer,behielt,Limonade,Tasche,distractor,NA,NA,,,3.9,1.7,,3.558242044,1.625050902,5.41213835496455,3.22476993256714
C,27,Zurück in der Kantine unterrichtete der Lehrer,unterrichtete,Limonade,Tasche,distractor,0,0.06666666667,0.2,,1.1,1.4,0.2,8.169496447,9.7168293,9.56862454116344,11.2578285746276
A,28,Im Krankenhaus tröstete die Mutter,tröstete,Bergsteigerin,Spitzhacke,target,0.9333333333,0,,2,6.3,1.4,,3.554822594,21.67900768,1.71410247962922,23.9909060448408
B,28,Im Krankenhaus verließ die Mutter,verließ,Bergsteigerin,Spitzhacke,target,NA,NA,,,5.3,2,,6.570899278,20.90992704,0.93270787934307,19.4273914413061
C,28,Im Krankenhaus stapelte die Mutter,stapelte,Bergsteigerin,Spitzhacke,target,0,0.06666666667,0.1333333333,,1.5,1.9,0.133333333,11.44472289,16.31585767,6.69531248509884,9.97362550348043
A,29,Dann umarmte die Praktikantin,umarmte,Förster,Hirsch,distractor,1,0,,2,5.6,1.5,,8.942742348,0.6214995384,0.0138743774150498,9.84962798515335
B,29,Dann wechselte die Praktikantin,wechselte,Förster,Hirsch,distractor,NA,NA,,,2.3,1.7,,8.328658104,4.437211037,16.7684807870537,11.8897339273244
C,29,Dann sammelte die Praktikantin,sammelte,Förster,Hirsch,distractor,0,0,0.2666666667,,1.6,2.6,0.266666667,12.65558052,0.8615511656,8.36452082172036,3.5683347415179
A,30,Am Ende konsultierte der Richter,konsultierte,Staatsanwalt,Angeklageten,distractor,0.3333333333,0.2,,1,6.7,5.5,,1.925576925,2.263990641,0.127949659479782,5.23065981350919
B,30,Am Ende ersetzte der Richter,ersetzte,Staatsanwalt,Angeklagten,distractor,NA,NA,,,2.4,1.8,,2.575618267,1.526936173,0.817372472258285,2.67509952795172
C,30,Am Ende kopierte der Richter,kopierte,Staatsanwalt,Angeklagten,distractor,0,0,0.1333333333,,1.7,1.4,0.133333333,3.77212429,4.343780994,6.81140001467429,3.22971099981532
A,31,Glücklich küsste die Braut,küsste,Bräutigam,Ring,distractor,1,0,,2,6.1,3.5,,1.410717414,1.401376724,0.278695767749014,3.77475833892822
B,31,Glücklich verließ die Braut,verließ,Bräutigam,Ring,distractor,NA,NA,,,1.8,2.3,,7.271149062,6.226944447,8.94465021707583,6.93809413909912
C,31,Glücklich vereinfachte die Braut,vereinfachte,Bräutigam,Ring,distractor,0,0.1333333333,0.1333333333,,1.9,2,0.266666667,8.921307493,4.992019653,5.18305907515605,0.961410343647003
A,32,Daraufhin faltete das Burgfräulein,faltete,Umhang,Ritter,distractor,0.5333333333,0.06666666667,,2,5.2,1.7,,0.0661130622,10.71413422,0.129182228120044,11.2272510528564
B,32,Daraufhin trug das Burgfräulein,trug,Umhang,Ritter,distractor,NA,NA,,,3.4,2,,0.03423212725,11.43384838,0.157802799803903,5.18128108978272
C,32,Daraufhin entleerte das Burgfräulein,entleerte,Umhang,Ritter,distractor,0,0,0.2,,2.7,2.5,0.2,0.1364987381,9.254758835,1.60697619942948,6.13884449005127
A,33,Daraufhin begleitete die Aufsichtsperson,begleitete,Besucherin,Eintrittskarte,target,1,0,,1,6.9,2.3,,0.356182144,11.6472975,0.0717728724084736,15.8490557987243
B,33,Daraufhin grüßte die Aufsichtsperson,grüßte,Besucherin,Eintrittskarte,target,NA,NA,,,4.2,1.8,,0.7668297482,10.66804421,0.450368269594037,8.98096905648708
C,33,Daraufhin erfand die Aufsichtsperson,erfand,Besucherin,Eintrittskarte,target,0,0,0.2666666667,,1.6,1.4,0.333333333,11.31706037,7.981710419,11.3460682071745,8.19230489805341
A,34,Dann grüßte der Händler,grüßte,Sklaven,Gewürzen,target,0.6,0,,1,6.2,1.3,,0.8863021731,11.68587494,0.377093639690429,17.4163899216801
B,34,Dann verabschiedete der Händler,verabschiedete,Sklaven,Gewürzen,target,NA,NA,,,5.4,1.4,,0.531168282,12.08275223,1.97107290942222,9.49173979274929
